#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:12.11 tex:1208 mv:778 misc:102 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.03 aq:12.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.03 aq:13.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:7 out:5 type:P dur:2 cpbdur:2 q:29.03 aq:21.14 tex:1041 mv:283 misc:236 imb:35 pmb:5 smb:880 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:29.03 aq:14.00 tex:16 mv:76 misc:228 imb:0 pmb:26 smb:894 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:8 out:8 type:i dur:2 cpbdur:2 q:26.41 aq:14.32 tex:9525 mv:4913 misc:122 imb:920 pmb:0 smb:0 d:- ref:;
in:9 out:9 type:P dur:2 cpbdur:2 q:29.03 aq:14.96 tex:299 mv:154 misc:299 imb:9 pmb:14 smb:897 d:- ref:0 ;
in:11 out:10 type:P dur:2 cpbdur:2 q:29.03 aq:17.32 tex:3673 mv:1949 misc:530 imb:134 pmb:91 smb:695 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:29.03 aq:18.95 tex:23 mv:3 misc:142 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:13 out:12 type:P dur:2 cpbdur:2 q:29.03 aq:19.32 tex:6244 mv:2525 misc:423 imb:209 pmb:83 smb:628 d:- ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:29.03 aq:19.66 tex:41 mv:7 misc:160 imb:0 pmb:3 smb:917 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:29.03 aq:16.34 tex:92 mv:40 misc:196 imb:2 pmb:3 smb:915 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:29.03 aq:19.65 tex:9753 mv:4590 misc:289 imb:562 pmb:174 smb:184 d:- ref:0 ;
in:17 out:16 type:P dur:2 cpbdur:2 q:29.03 aq:20.29 tex:7000 mv:2978 misc:654 imb:189 pmb:156 smb:575 d:- ref:0 ;
in:16 out:17 type:b dur:2 cpbdur:2 q:29.03 aq:19.55 tex:125 mv:40 misc:227 imb:1 pmb:15 smb:904 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:29.03 aq:20.11 tex:4278 mv:2279 misc:555 imb:113 pmb:153 smb:654 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:29.03 aq:19.32 tex:74 mv:66 misc:220 imb:2 pmb:5 smb:913 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:29.03 aq:21.86 tex:3204 mv:1890 misc:522 imb:83 pmb:136 smb:701 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:29.03 aq:19.62 tex:10979 mv:4970 misc:323 imb:546 pmb:161 smb:213 d:- ref:0 ;
in:23 out:22 type:P dur:2 cpbdur:2 q:29.03 aq:19.42 tex:8369 mv:3947 misc:588 imb:254 pmb:196 smb:470 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:29.03 aq:22.57 tex:1942 mv:1796 misc:622 imb:31 pmb:192 smb:697 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:29.03 aq:12.42 tex:90 mv:104 misc:238 imb:4 pmb:7 smb:909 d:- ref:0 ;
in:26 out:25 type:P dur:2 cpbdur:2 q:29.03 aq:22.67 tex:6732 mv:3230 misc:518 imb:181 pmb:171 smb:568 d:- ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:29.03 aq:22.59 tex:443 mv:152 misc:317 imb:5 pmb:31 smb:884 d:- ref:0 ;
in:27 out:27 type:I dur:2 cpbdur:2 q:26.17 aq:17.29 tex:17558 mv:8136 misc:114 imb:920 pmb:0 smb:0 d:- ref:;
in:28 out:28 type:P dur:2 cpbdur:2 q:29.03 aq:19.59 tex:4488 mv:2599 misc:681 imb:134 pmb:181 smb:605 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:29.03 aq:15.67 tex:48 mv:32 misc:192 imb:2 pmb:2 smb:916 d:- ref:0 ;
in:31 out:30 type:P dur:2 cpbdur:2 q:29.03 aq:21.37 tex:5998 mv:3229 misc:565 imb:185 pmb:176 smb:559 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:29.03 aq:19.84 tex:183 mv:91 misc:278 imb:3 pmb:20 smb:897 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:29.03 aq:22.44 tex:4929 mv:2959 misc:592 imb:160 pmb:165 smb:595 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:29.03 aq:19.20 tex:15630 mv:5747 misc:327 imb:488 pmb:200 smb:232 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:29.03 aq:20.49 tex:491 mv:259 misc:418 imb:13 pmb:36 smb:871 d:- ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:29.03 aq:20.72 tex:6831 mv:3123 misc:622 imb:203 pmb:153 smb:564 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:29.03 aq:23.02 tex:316 mv:83 misc:201 imb:2 pmb:15 smb:903 d:- ref:0 ;
