#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:13.61 tex:12848 mv:3296 misc:112 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.03 aq:19.76 tex:107 mv:23 misc:190 imb:1 pmb:2 smb:917 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.03 aq:13.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:29.03 aq:22.19 tex:2144 mv:309 misc:331 imb:16 pmb:41 smb:863 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:11 mv:81 misc:196 imb:0 pmb:17 smb:903 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:29.03 aq:19.12 tex:11960 mv:2899 misc:333 imb:640 pmb:86 smb:194 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:29.03 aq:18.87 tex:5039 mv:1623 misc:602 imb:135 pmb:133 smb:652 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:29.03 aq:21.14 tex:353 mv:98 misc:245 imb:6 pmb:10 smb:904 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:29.03 aq:18.88 tex:3944 mv:1586 misc:478 imb:89 pmb:124 smb:707 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:29.03 aq:20.99 tex:9920 mv:2224 misc:440 imb:184 pmb:110 smb:626 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:5 mv:21 misc:150 imb:1 pmb:1 smb:918 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:29.03 aq:18.65 tex:15343 mv:4418 misc:279 imb:528 pmb:203 smb:189 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:29.03 aq:17.78 tex:423 mv:152 misc:337 imb:1 pmb:28 smb:891 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:29.03 aq:20.33 tex:11114 mv:2721 misc:589 imb:157 pmb:170 smb:593 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:29.03 aq:16.34 tex:75 mv:41 misc:180 imb:1 pmb:6 smb:913 d:- ref:0 ;
in:18 out:17 type:P dur:2 cpbdur:2 q:29.03 aq:20.95 tex:7942 mv:2628 misc:534 imb:115 pmb:187 smb:618 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:29.03 aq:16.99 tex:54 mv:16 misc:170 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:29.03 aq:18.68 tex:233 mv:60 misc:243 imb:1 pmb:9 smb:910 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:29.03 aq:19.72 tex:12401 mv:4462 misc:313 imb:544 pmb:179 smb:197 d:- ref:0 ;
in:22 out:21 type:P dur:2 cpbdur:2 q:29.03 aq:20.04 tex:8563 mv:3164 misc:609 imb:200 pmb:185 smb:535 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:29.03 aq:22.57 tex:1474 mv:1612 misc:562 imb:31 pmb:155 smb:734 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:29.03 aq:19.98 tex:6901 mv:2692 misc:567 imb:146 pmb:172 smb:602 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:29.03 aq:21.63 tex:231 mv:83 misc:238 imb:1 pmb:11 smb:908 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:29.03 aq:22.81 tex:6305 mv:2404 misc:563 imb:101 pmb:196 smb:623 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:29.03 aq:20.51 tex:16613 mv:5454 misc:301 imb:531 pmb:239 smb:150 d:- ref:0 ;
in:28 out:27 type:P dur:2 cpbdur:2 q:29.03 aq:20.23 tex:10833 mv:3676 misc:715 imb:220 pmb:259 smb:441 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:29.03 aq:19.26 tex:222 mv:62 misc:220 imb:0 pmb:35 smb:885 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:29.03 aq:18.56 tex:360 mv:84 misc:260 imb:0 pmb:17 smb:903 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:29.03 aq:21.64 tex:5978 mv:2109 misc:641 imb:84 pmb:197 smb:639 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:29.03 aq:21.98 tex:8340 mv:2562 misc:642 imb:146 pmb:166 smb:608 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:29.03 aq:20.84 tex:15581 mv:5207 misc:324 imb:430 pmb:265 smb:225 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:29.03 aq:20.36 tex:7467 mv:2887 misc:654 imb:164 pmb:224 smb:532 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:29.03 aq:20.24 tex:394 mv:74 misc:268 imb:1 pmb:14 smb:905 d:- ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:29.03 aq:21.26 tex:8972 mv:3121 misc:547 imb:213 pmb:189 smb:518 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:29.03 aq:22.43 tex:2275 mv:1834 misc:587 imb:39 pmb:199 smb:682 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:29.03 aq:21.38 tex:6898 mv:2492 misc:602 imb:151 pmb:188 smb:581 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:29.03 aq:18.99 tex:17575 mv:5125 misc:228 imb:564 pmb:218 smb:138 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:29.03 aq:19.79 tex:513 mv:142 misc:369 imb:2 pmb:28 smb:890 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:29.03 aq:20.02 tex:5806 mv:2588 misc:694 imb:132 pmb:203 smb:585 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:29.03 aq:20.46 tex:10593 mv:3067 misc:604 imb:208 pmb:183 smb:529 d:- ref:0 ;
in:43 out:42 type:P dur:2 cpbdur:2 q:29.03 aq:19.77 tex:11352 mv:3115 misc:589 imb:213 pmb:176 smb:531 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:29.03 aq:21.35 tex:1765 mv:1710 misc:581 imb:35 pmb:183 smb:702 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:29.03 aq:19.18 tex:279 mv:60 misc:245 imb:0 pmb:14 smb:906 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:29.03 aq:20.37 tex:16965 mv:4979 misc:248 imb:538 pmb:230 smb:152 d:- ref:0 ;
in:47 out:46 type:P dur:2 cpbdur:2 q:29.03 aq:20.68 tex:9892 mv:3024 misc:660 imb:198 pmb:216 smb:506 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:29.03 aq:20.67 tex:857 mv:457 misc:262 imb:16 pmb:30 smb:874 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:29.03 aq:19.08 tex:9988 mv:2607 misc:557 imb:168 pmb:193 smb:559 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:29.03 aq:19.27 tex:292 mv:47 misc:237 imb:0 pmb:11 smb:909 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:29.03 aq:21.90 tex:6063 mv:1673 misc:520 imb:80 pmb:142 smb:698 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:29.03 aq:18.95 tex:19614 mv:4339 misc:327 imb:548 pmb:189 smb:183 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:29.03 aq:19.41 tex:8617 mv:1865 misc:662 imb:76 pmb:183 smb:661 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:29.03 aq:19.03 tex:4877 mv:2109 misc:582 imb:134 pmb:154 smb:632 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:29.03 aq:18.69 tex:364 mv:104 misc:268 imb:5 pmb:10 smb:905 d:- ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:29.03 aq:23.45 tex:8188 mv:2385 misc:515 imb:134 pmb:169 smb:617 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:29.03 aq:21.04 tex:316 mv:113 misc:283 imb:4 pmb:24 smb:892 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:29.03 aq:19.01 tex:19163 mv:4125 misc:368 imb:507 pmb:180 smb:233 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:29.03 aq:18.89 tex:7350 mv:1380 misc:558 imb:63 pmb:154 smb:703 d:- ref:0 ;
in:61 out:59 type:P dur:2 cpbdur:2 q:29.03 aq:21.35 tex:4177 mv:1366 misc:457 imb:60 pmb:111 smb:749 d:- ref:0 ;
in:60 out:60 type:B dur:2 cpbdur:2 q:29.03 aq:23.21 tex:388 mv:232 misc:260 imb:9 pmb:19 smb:892 d:- ref:0 ;
in:59 out:61 type:b dur:2 cpbdur:2 q:29.03 aq:18.78 tex:142 mv:131 misc:231 imb:1 pmb:25 smb:894 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:29.03 aq:23.54 tex:7669 mv:1922 misc:497 imb:105 pmb:145 smb:670 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:29.03 aq:18.67 tex:19914 mv:4723 misc:395 imb:624 pmb:221 smb:75 d:- ref:0 w:6,65,0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:29.03 aq:17.71 tex:766 mv:274 misc:408 imb:25 pmb:36 smb:859 d:- ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:29.03 aq:20.77 tex:8136 mv:2468 misc:604 imb:161 pmb:171 smb:588 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:29.03 aq:21.41 tex:149 mv:80 misc:219 imb:3 pmb:10 smb:907 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:29.03 aq:21.06 tex:4492 mv:1911 misc:533 imb:92 pmb:132 smb:696 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:29.03 aq:19.84 tex:4831 mv:1676 misc:605 imb:100 pmb:127 smb:693 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:29.03 aq:17.23 tex:130 mv:58 misc:220 imb:1 pmb:7 smb:912 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:29.03 aq:19.69 tex:14897 mv:3936 misc:407 imb:404 pmb:217 smb:299 d:- ref:0 w:6,65,0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:29.03 aq:20.43 tex:8419 mv:2146 misc:643 imb:140 pmb:157 smb:623 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:29.03 aq:21.81 tex:1047 mv:982 misc:531 imb:14 pmb:128 smb:778 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:29.03 aq:20.02 tex:10238 mv:2171 misc:543 imb:100 pmb:173 smb:647 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:29.03 aq:18.58 tex:75 mv:25 misc:196 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:29.03 aq:21.81 tex:8570 mv:1908 misc:530 imb:108 pmb:149 smb:663 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:29.03 aq:19.79 tex:18390 mv:4652 misc:310 imb:711 pmb:167 smb:42 d:- ref:0 ;
in:78 out:77 type:P dur:2 cpbdur:2 q:29.03 aq:19.75 tex:19005 mv:3266 misc:657 imb:158 pmb:203 smb:559 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:29.03 aq:21.12 tex:6176 mv:2030 misc:506 imb:18 pmb:172 smb:730 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:29.03 aq:20.80 tex:204 mv:55 misc:253 imb:1 pmb:9 smb:910 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:29.03 aq:22.15 tex:14870 mv:2585 misc:505 imb:153 pmb:138 smb:629 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:29.03 aq:21.83 tex:6373 mv:1951 misc:500 imb:15 pmb:178 smb:727 d:- ref:0 ;
in:82 out:82 type:I dur:2 cpbdur:2 q:26.12 aq:17.53 tex:27274 mv:10491 misc:131 imb:920 pmb:0 smb:0 d:- ref:;
in:83 out:83 type:P dur:2 cpbdur:2 q:29.03 aq:21.19 tex:14917 mv:2703 misc:540 imb:76 pmb:203 smb:641 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:29.03 aq:12.43 tex:69 mv:95 misc:236 imb:5 pmb:6 smb:909 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:29.03 aq:22.17 tex:14135 mv:2695 misc:394 imb:78 pmb:182 smb:660 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:29.03 aq:23.60 tex:19839 mv:4114 misc:407 imb:224 pmb:202 smb:494 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:29.03 aq:25.54 tex:24807 mv:4436 misc:421 imb:233 pmb:195 smb:492 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:29.03 aq:21.98 tex:32798 mv:5866 misc:312 imb:463 pmb:205 smb:252 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:29.03 aq:24.85 tex:123 mv:39 misc:222 imb:1 pmb:6 smb:913 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:29.03 aq:25.20 tex:24057 mv:5488 misc:383 imb:311 pmb:239 smb:370 d:- ref:0 ;
