#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:10.74 tex:3874 mv:1740 misc:106 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.03 aq:16.76 tex:768 mv:69 misc:195 imb:4 pmb:4 smb:912 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.03 aq:13.00 tex:7 mv:25 misc:144 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:7 mv:23 misc:146 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:29.03 aq:15.38 tex:1424 mv:287 misc:257 imb:28 pmb:13 smb:879 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:29.03 aq:23.00 tex:129 mv:14 misc:169 imb:0 pmb:3 smb:917 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:29.03 aq:16.51 tex:29 mv:36 misc:159 imb:0 pmb:6 smb:914 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:9 mv:5 misc:138 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:29.03 aq:21.92 tex:180 mv:147 misc:225 imb:14 pmb:4 smb:902 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:29.03 aq:21.80 tex:37 mv:16 misc:171 imb:0 pmb:3 smb:917 d:- ref:0 ;
