#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:13.66 tex:17816 mv:3480 misc:112 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.03 aq:15.54 tex:247 mv:82 misc:223 imb:2 pmb:7 smb:911 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.03 aq:13.00 tex:5 mv:35 misc:152 imb:0 pmb:3 smb:917 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:29.03 aq:22.51 tex:1146 mv:211 misc:283 imb:15 pmb:26 smb:879 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:12 mv:56 misc:188 imb:0 pmb:13 smb:907 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:29.03 aq:19.30 tex:9903 mv:2895 misc:354 imb:638 pmb:88 smb:194 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:29.03 aq:18.05 tex:4333 mv:1644 misc:575 imb:124 pmb:117 smb:679 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:29.03 aq:15.56 tex:263 mv:70 misc:243 imb:1 pmb:12 smb:907 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:29.03 aq:19.96 tex:3673 mv:1513 misc:502 imb:84 pmb:107 smb:729 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:29.03 aq:21.24 tex:9599 mv:2051 misc:406 imb:184 pmb:105 smb:631 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:4 mv:16 misc:148 imb:1 pmb:1 smb:918 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:29.03 aq:18.68 tex:14454 mv:4611 misc:351 imb:505 pmb:220 smb:195 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:29.03 aq:17.53 tex:439 mv:202 misc:327 imb:4 pmb:24 smb:892 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:29.03 aq:20.51 tex:10632 mv:2672 misc:576 imb:164 pmb:169 smb:587 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:29.03 aq:18.85 tex:111 mv:85 misc:196 imb:0 pmb:11 smb:909 d:- ref:0 ;
in:19 out:17 type:P dur:2 cpbdur:2 q:29.03 aq:22.50 tex:6660 mv:2215 misc:501 imb:122 pmb:153 smb:645 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:29.03 aq:21.33 tex:192 mv:275 misc:421 imb:0 pmb:82 smb:838 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:29.03 aq:22.53 tex:42 mv:25 misc:165 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:29.03 aq:19.68 tex:11710 mv:4419 misc:375 imb:506 pmb:183 smb:231 d:- ref:0 ;
in:22 out:21 type:P dur:2 cpbdur:2 q:29.03 aq:20.01 tex:7985 mv:3128 misc:663 imb:193 pmb:197 smb:530 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:29.03 aq:23.05 tex:1368 mv:1435 misc:541 imb:30 pmb:138 smb:752 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:29.03 aq:20.56 tex:5952 mv:2635 misc:573 imb:129 pmb:175 smb:616 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:29.03 aq:22.97 tex:211 mv:49 misc:244 imb:0 pmb:11 smb:909 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:29.03 aq:22.73 tex:5860 mv:2451 misc:617 imb:113 pmb:179 smb:628 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:29.03 aq:20.63 tex:15294 mv:5095 misc:371 imb:503 pmb:244 smb:173 d:- ref:0 ;
in:28 out:27 type:P dur:2 cpbdur:2 q:29.03 aq:20.03 tex:9160 mv:3475 misc:725 imb:203 pmb:258 smb:459 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:29.03 aq:19.49 tex:282 mv:30 misc:256 imb:0 pmb:39 smb:881 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:29.03 aq:19.20 tex:191 mv:45 misc:220 imb:0 pmb:8 smb:912 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:29.03 aq:21.68 tex:5182 mv:1864 misc:650 imb:65 pmb:190 smb:665 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:29.03 aq:21.76 tex:7697 mv:2662 misc:641 imb:141 pmb:191 smb:588 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:29.03 aq:20.66 tex:14060 mv:4871 misc:397 imb:429 pmb:241 smb:250 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:29.03 aq:20.32 tex:6448 mv:2785 misc:711 imb:160 pmb:204 smb:556 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:29.03 aq:19.80 tex:193 mv:46 misc:233 imb:1 pmb:8 smb:911 d:- ref:0 ;
in:36 out:35 type:P dur:2 cpbdur:2 q:29.03 aq:21.79 tex:7409 mv:3052 misc:523 imb:209 pmb:176 smb:535 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:29.03 aq:21.26 tex:1920 mv:1713 misc:567 imb:32 pmb:179 smb:709 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:29.03 aq:21.33 tex:6254 mv:2435 misc:607 imb:140 pmb:173 smb:607 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:29.03 aq:19.23 tex:15250 mv:4832 misc:302 imb:541 pmb:219 smb:160 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:29.03 aq:19.62 tex:570 mv:196 misc:378 imb:6 pmb:36 smb:878 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:29.03 aq:20.02 tex:5022 mv:2437 misc:733 imb:139 pmb:199 smb:582 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:29.03 aq:19.79 tex:8986 mv:2657 misc:645 imb:218 pmb:162 smb:540 d:- ref:0 ;
in:43 out:42 type:P dur:2 cpbdur:2 q:29.03 aq:19.03 tex:9800 mv:2990 misc:562 imb:236 pmb:174 smb:510 d:- ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:29.03 aq:21.97 tex:1798 mv:1650 misc:568 imb:41 pmb:168 smb:711 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:29.03 aq:21.78 tex:323 mv:42 misc:235 imb:0 pmb:11 smb:909 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:29.03 aq:20.34 tex:15002 mv:4605 misc:353 imb:535 pmb:220 smb:165 d:- ref:0 ;
in:47 out:46 type:P dur:2 cpbdur:2 q:29.03 aq:20.93 tex:8542 mv:3229 misc:629 imb:211 pmb:222 smb:487 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:29.03 aq:23.93 tex:896 mv:399 misc:249 imb:15 pmb:31 smb:874 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:29.03 aq:19.38 tex:7974 mv:2350 misc:596 imb:159 pmb:176 smb:585 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:29.03 aq:18.92 tex:86 mv:23 misc:203 imb:0 pmb:5 smb:915 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:29.03 aq:22.19 tex:5146 mv:1642 misc:548 imb:76 pmb:148 smb:696 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:29.03 aq:19.07 tex:16804 mv:4190 misc:406 imb:496 pmb:201 smb:223 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:29.03 aq:19.19 tex:7432 mv:2094 misc:706 imb:109 pmb:188 smb:623 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:29.03 aq:18.75 tex:4536 mv:1855 misc:561 imb:117 pmb:141 smb:662 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:29.03 aq:19.03 tex:113 mv:29 misc:186 imb:2 pmb:1 smb:917 d:- ref:0 ;
in:56 out:55 type:P dur:2 cpbdur:2 q:29.03 aq:21.31 tex:7137 mv:2163 misc:516 imb:121 pmb:155 smb:644 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:29.03 aq:19.84 tex:278 mv:126 misc:292 imb:3 pmb:25 smb:892 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:29.03 aq:19.36 tex:16044 mv:3897 misc:443 imb:496 pmb:171 smb:253 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:29.03 aq:19.27 tex:6318 mv:1499 misc:647 imb:78 pmb:172 smb:670 d:- ref:0 ;
in:61 out:59 type:P dur:2 cpbdur:2 q:29.03 aq:22.52 tex:3770 mv:1333 misc:513 imb:49 pmb:117 smb:754 d:- ref:0 ;
in:60 out:60 type:B dur:2 cpbdur:2 q:29.03 aq:22.06 tex:336 mv:187 misc:237 imb:8 pmb:17 smb:895 d:- ref:0 ;
in:59 out:61 type:b dur:2 cpbdur:2 q:29.03 aq:18.73 tex:132 mv:126 misc:254 imb:2 pmb:26 smb:892 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:29.03 aq:23.46 tex:6108 mv:1805 misc:511 imb:110 pmb:125 smb:685 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:29.03 aq:18.74 tex:16068 mv:4419 misc:441 imb:606 pmb:217 smb:97 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:29.03 aq:18.92 tex:733 mv:281 misc:402 imb:23 pmb:40 smb:857 d:- ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:29.03 aq:20.10 tex:6983 mv:2446 misc:651 imb:163 pmb:168 smb:589 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:29.03 aq:20.48 tex:156 mv:117 misc:215 imb:3 pmb:12 smb:905 d:- ref:0 ;
in:68 out:67 type:P dur:2 cpbdur:2 q:29.03 aq:20.38 tex:6756 mv:2646 misc:598 imb:161 pmb:168 smb:591 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:29.03 aq:22.95 tex:1029 mv:887 misc:444 imb:12 pmb:118 smb:790 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:29.03 aq:21.68 tex:152 mv:49 misc:215 imb:1 pmb:5 smb:914 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:29.03 aq:19.55 tex:12686 mv:3999 misc:443 imb:412 pmb:206 smb:302 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:29.03 aq:19.29 tex:4504 mv:1287 misc:673 imb:86 pmb:132 smb:702 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:29.03 aq:20.43 tex:6317 mv:1671 misc:540 imb:90 pmb:131 smb:699 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:29.03 aq:20.28 tex:8402 mv:1749 misc:561 imb:86 pmb:154 smb:680 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:29.03 aq:13.00 tex:3 mv:11 misc:162 imb:1 pmb:0 smb:919 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:29.03 aq:21.82 tex:7916 mv:1618 misc:546 imb:95 pmb:140 smb:685 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:29.03 aq:19.86 tex:16375 mv:4469 misc:340 imb:710 pmb:155 smb:55 d:- ref:0 ;
in:78 out:77 type:P dur:2 cpbdur:2 q:29.03 aq:19.59 tex:18477 mv:3538 misc:657 imb:182 pmb:218 smb:520 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:29.03 aq:21.16 tex:6143 mv:1389 misc:548 imb:11 pmb:161 smb:748 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:29.03 aq:15.93 tex:183 mv:100 misc:261 imb:4 pmb:9 smb:907 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:29.03 aq:22.27 tex:15357 mv:2631 misc:532 imb:158 pmb:149 smb:613 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:29.03 aq:22.33 tex:6196 mv:1700 misc:504 imb:16 pmb:177 smb:727 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:29.03 aq:20.29 tex:25412 mv:5237 misc:231 imb:744 pmb:157 smb:19 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:29.03 aq:20.89 tex:15668 mv:2922 misc:610 imb:82 pmb:237 smb:601 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:29.03 aq:16.46 tex:124 mv:40 misc:236 imb:0 pmb:8 smb:912 d:- ref:0 ;
in:86 out:85 type:P dur:2 cpbdur:2 q:29.03 aq:22.60 tex:22766 mv:4314 misc:472 imb:237 pmb:204 smb:479 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:29.03 aq:22.34 tex:10504 mv:3815 misc:529 imb:45 pmb:246 smb:629 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:29.03 aq:23.67 tex:24679 mv:4356 misc:413 imb:256 pmb:186 smb:478 d:- ref:0 ;
in:88 out:88 type:I dur:2 cpbdur:2 q:26.12 aq:18.99 tex:34724 mv:14248 misc:124 imb:920 pmb:0 smb:0 d:- ref:;
in:89 out:89 type:P dur:2 cpbdur:2 q:29.03 aq:13.03 tex:58 mv:49 misc:189 imb:0 pmb:5 smb:915 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:29.03 aq:25.01 tex:24469 mv:5711 misc:412 imb:309 pmb:250 smb:361 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:29.03 aq:24.62 tex:26462 mv:5567 misc:379 imb:361 pmb:218 smb:341 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:29.03 aq:23.84 tex:38524 mv:5042 misc:314 imb:568 pmb:110 smb:242 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:29.03 aq:21.41 tex:25356 mv:4804 misc:408 imb:450 pmb:150 smb:320 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:29.03 aq:23.54 tex:745 mv:93 misc:290 imb:1 pmb:25 smb:894 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:29.03 aq:20.68 tex:13730 mv:4965 misc:321 imb:593 pmb:167 smb:160 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:29.03 aq:21.28 tex:7263 mv:3317 misc:628 imb:191 pmb:190 smb:539 d:- ref:0 ;
