#options: 640x360 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=20 rc=crf mbtree=1 crf=23.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.03 aq:12.74 tex:10649 mv:2163 misc:116 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.03 aq:21.12 tex:83 mv:9 misc:180 imb:0 pmb:2 smb:918 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.03 aq:13.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:0 mv:0 misc:128 imb:0 pmb:0 smb:920 d:- ref:0 ;
in:6 out:5 type:P dur:2 cpbdur:2 q:29.03 aq:22.05 tex:1562 mv:225 misc:253 imb:22 pmb:17 smb:881 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:29.03 aq:14.00 tex:18 mv:94 misc:216 imb:2 pmb:19 smb:899 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:29.03 aq:17.27 tex:10668 mv:3016 misc:260 imb:756 pmb:71 smb:93 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:29.03 aq:14.68 tex:440 mv:194 misc:342 imb:7 pmb:21 smb:892 d:- ref:0 ;
in:10 out:9 type:P dur:2 cpbdur:2 q:29.03 aq:18.13 tex:4990 mv:1658 misc:496 imb:120 pmb:108 smb:692 d:- ref:0 ;
in:9 out:10 type:b dur:2 cpbdur:2 q:29.03 aq:18.95 tex:47 mv:8 misc:153 imb:0 pmb:4 smb:916 d:- ref:0 ;
in:12 out:11 type:P dur:2 cpbdur:2 q:29.03 aq:22.11 tex:10623 mv:2426 misc:423 imb:199 pmb:101 smb:620 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:29.03 aq:19.66 tex:63 mv:12 misc:173 imb:0 pmb:6 smb:914 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:29.03 aq:19.86 tex:111 mv:40 misc:209 imb:1 pmb:5 smb:914 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:29.03 aq:18.92 tex:13297 mv:4480 misc:295 imb:549 pmb:189 smb:182 d:- ref:0 ;
in:16 out:15 type:P dur:2 cpbdur:2 q:29.03 aq:19.98 tex:12249 mv:2659 misc:644 imb:180 pmb:139 smb:601 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:29.03 aq:19.99 tex:102 mv:40 misc:202 imb:1 pmb:9 smb:910 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:29.03 aq:20.04 tex:4902 mv:2152 misc:538 imb:112 pmb:162 smb:646 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:29.03 aq:21.32 tex:245 mv:40 misc:227 imb:1 pmb:7 smb:912 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:29.03 aq:23.81 tex:4057 mv:1892 misc:523 imb:87 pmb:151 smb:682 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:29.03 aq:19.40 tex:13790 mv:4808 misc:274 imb:562 pmb:169 smb:189 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:29.03 aq:20.55 tex:5638 mv:2160 misc:538 imb:102 pmb:152 smb:666 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:29.03 aq:19.54 tex:7111 mv:2691 misc:542 imb:134 pmb:177 smb:609 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:29.03 aq:20.09 tex:314 mv:66 misc:260 imb:1 pmb:14 smb:905 d:- ref:0 ;
in:25 out:24 type:P dur:2 cpbdur:2 q:29.03 aq:21.79 tex:9818 mv:3136 misc:526 imb:193 pmb:178 smb:549 d:- ref:0 ;
in:24 out:25 type:b dur:2 cpbdur:2 q:29.03 aq:23.84 tex:338 mv:110 misc:296 imb:2 pmb:28 smb:890 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:29.03 aq:19.59 tex:18485 mv:5627 misc:256 imb:558 pmb:229 smb:133 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:29.03 aq:19.51 tex:6257 mv:2842 misc:669 imb:128 pmb:229 smb:563 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:29.03 aq:14.45 tex:118 mv:165 misc:237 imb:25 pmb:5 smb:890 d:- ref:0 ;
in:30 out:29 type:P dur:2 cpbdur:2 q:29.03 aq:21.53 tex:8754 mv:2895 misc:623 imb:169 pmb:191 smb:560 d:- ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:29.03 aq:19.38 tex:246 mv:83 misc:279 imb:2 pmb:24 smb:894 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:29.03 aq:21.84 tex:5964 mv:2675 misc:609 imb:166 pmb:150 smb:604 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:29.03 aq:18.98 tex:18860 mv:5569 misc:299 imb:473 pmb:225 smb:222 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:29.03 aq:19.70 tex:528 mv:246 misc:402 imb:13 pmb:37 smb:870 d:- ref:0 ;
in:35 out:34 type:P dur:2 cpbdur:2 q:29.03 aq:21.12 tex:6874 mv:2802 misc:572 imb:199 pmb:125 smb:596 d:- ref:0 ;
in:34 out:35 type:b dur:2 cpbdur:2 q:29.03 aq:22.43 tex:240 mv:78 misc:170 imb:1 pmb:11 smb:908 d:- ref:0 ;
in:38 out:36 type:P dur:2 cpbdur:2 q:29.03 aq:21.72 tex:8462 mv:2835 misc:527 imb:203 pmb:138 smb:579 d:- ref:0 ;
in:37 out:37 type:B dur:2 cpbdur:2 q:29.03 aq:21.60 tex:258 mv:289 misc:461 imb:3 pmb:90 smb:827 d:- ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:29.03 aq:21.00 tex:356 mv:236 misc:264 imb:4 pmb:33 smb:883 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:29.03 aq:19.82 tex:16539 mv:4719 misc:270 imb:570 pmb:192 smb:158 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:29.03 aq:19.71 tex:4994 mv:2629 misc:721 imb:133 pmb:200 smb:587 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:29.03 aq:19.46 tex:10129 mv:3132 misc:547 imb:209 pmb:188 smb:523 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:29.03 aq:18.79 tex:6235 mv:2310 misc:583 imb:128 pmb:138 smb:654 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:29.03 aq:16.96 tex:159 mv:52 misc:229 imb:1 pmb:7 smb:912 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:29.03 aq:19.73 tex:5975 mv:2065 misc:528 imb:158 pmb:133 smb:629 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:29.03 aq:19.79 tex:18741 mv:5022 misc:229 imb:582 pmb:198 smb:140 d:- ref:0 ;
in:47 out:46 type:P dur:2 cpbdur:2 q:29.03 aq:18.88 tex:11496 mv:3482 misc:550 imb:225 pmb:210 smb:485 d:- ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:29.03 aq:20.91 tex:894 mv:303 misc:235 imb:19 pmb:22 smb:879 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:29.03 aq:18.72 tex:556 mv:94 misc:294 imb:2 pmb:22 smb:896 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:29.03 aq:20.01 tex:7597 mv:2037 misc:566 imb:120 pmb:160 smb:640 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:29.03 aq:21.62 tex:5277 mv:1657 misc:514 imb:74 pmb:136 smb:710 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:29.03 aq:18.37 tex:22150 mv:4410 misc:256 imb:589 pmb:174 smb:157 d:- ref:0 ;
in:53 out:52 type:P dur:2 cpbdur:2 q:29.03 aq:17.80 tex:2831 mv:1581 misc:660 imb:78 pmb:112 smb:730 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:29.03 aq:19.61 tex:221 mv:365 misc:438 imb:3 pmb:94 smb:823 d:- ref:0 ;
in:55 out:54 type:P dur:2 cpbdur:2 q:29.03 aq:20.05 tex:6174 mv:2575 misc:491 imb:171 pmb:146 smb:603 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:29.03 aq:20.95 tex:28 mv:2 misc:138 imb:0 pmb:1 smb:919 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:29.03 aq:19.90 tex:4802 mv:1688 misc:566 imb:80 pmb:138 smb:702 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:29.03 aq:18.34 tex:21432 mv:4289 misc:391 imb:520 pmb:172 smb:228 d:- ref:0 w:6,65,0,6,59,10,64,0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:29.03 aq:19.33 tex:5426 mv:1746 misc:524 imb:76 pmb:127 smb:717 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:29.03 aq:18.72 tex:466 mv:169 misc:253 imb:4 pmb:21 smb:895 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:29.03 aq:18.60 tex:161 mv:221 misc:346 imb:3 pmb:52 smb:865 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:29.03 aq:19.50 tex:137 mv:82 misc:245 imb:2 pmb:14 smb:904 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:29.03 aq:18.99 tex:7096 mv:2060 misc:500 imb:98 pmb:143 smb:679 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:29.03 aq:18.50 tex:162 mv:46 misc:224 imb:2 pmb:6 smb:912 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:29.03 aq:18.82 tex:20562 mv:4768 misc:318 imb:663 pmb:213 smb:44 d:- ref:0 w:5,33,0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:29.03 aq:19.72 tex:5703 mv:2518 misc:627 imb:171 pmb:157 smb:592 d:- ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:29.03 aq:16.41 tex:66 mv:27 misc:187 imb:1 pmb:5 smb:914 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:29.03 aq:20.89 tex:5061 mv:2128 misc:531 imb:110 pmb:149 smb:661 d:- ref:0 ;
in:69 out:68 type:P dur:2 cpbdur:2 q:29.03 aq:22.32 tex:2352 mv:1172 misc:476 imb:73 pmb:66 smb:781 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:29.03 aq:18.57 tex:179 mv:265 misc:356 imb:1 pmb:64 smb:855 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:29.03 aq:18.78 tex:19090 mv:4466 misc:316 imb:475 pmb:201 smb:244 d:- ref:0 w:5,33,0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:29.03 aq:17.66 tex:2181 mv:1084 misc:567 imb:65 pmb:77 smb:778 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:29.03 aq:21.77 tex:6362 mv:1724 misc:498 imb:93 pmb:116 smb:711 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:29.03 aq:17.67 tex:169 mv:64 misc:231 imb:3 pmb:6 smb:911 d:- ref:0 ;
in:75 out:74 type:P dur:2 cpbdur:2 q:29.03 aq:21.81 tex:9104 mv:2184 misc:496 imb:106 pmb:147 smb:667 d:- ref:0 ;
in:74 out:75 type:b dur:2 cpbdur:2 q:29.03 aq:22.92 tex:668 mv:152 misc:164 imb:11 pmb:19 smb:890 d:- ref:0 ;
in:76 out:76 type:P dur:2 cpbdur:2 q:29.03 aq:18.99 tex:20950 mv:4746 misc:232 imb:747 pmb:151 smb:22 d:- ref:0 ;
in:77 out:77 type:P dur:2 cpbdur:2 q:29.03 aq:18.59 tex:13307 mv:2744 misc:541 imb:83 pmb:193 smb:644 d:- ref:0 ;
in:78 out:78 type:P dur:2 cpbdur:2 q:29.03 aq:21.29 tex:181 mv:69 misc:246 imb:3 pmb:7 smb:910 d:- ref:0 ;
in:80 out:79 type:P dur:2 cpbdur:2 q:29.03 aq:22.48 tex:14351 mv:2335 misc:482 imb:133 pmb:127 smb:660 d:- ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:29.03 aq:21.39 tex:4906 mv:1911 misc:439 imb:13 pmb:158 smb:749 d:- ref:0 ;
in:81 out:81 type:P dur:2 cpbdur:2 q:29.03 aq:22.46 tex:9330 mv:2210 misc:460 imb:87 pmb:148 smb:685 d:- ref:0 ;
in:82 out:82 type:I dur:2 cpbdur:2 q:26.12 aq:16.39 tex:28284 mv:11069 misc:135 imb:920 pmb:0 smb:0 d:- ref:;
in:83 out:83 type:P dur:2 cpbdur:2 q:29.03 aq:13.69 tex:42 mv:24 misc:190 imb:1 pmb:2 smb:917 d:- ref:0 ;
in:85 out:84 type:P dur:2 cpbdur:2 q:29.03 aq:22.39 tex:15614 mv:3264 misc:410 imb:113 pmb:195 smb:612 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:29.03 aq:21.56 tex:5130 mv:2806 misc:424 imb:15 pmb:201 smb:704 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:29.03 aq:23.75 tex:19146 mv:4190 misc:416 imb:210 pmb:209 smb:501 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:29.03 aq:24.19 tex:29915 mv:4487 misc:374 imb:254 pmb:194 smb:472 d:- ref:0 ;
in:88 out:88 type:P dur:2 cpbdur:2 q:29.03 aq:22.26 tex:193 mv:44 misc:203 imb:2 pmb:4 smb:914 d:- ref:0 ;
in:89 out:89 type:P dur:2 cpbdur:2 q:29.03 aq:23.17 tex:26617 mv:5849 misc:334 imb:452 pmb:220 smb:248 d:- ref:0 ;
